repository_path,line,kind,excerpt
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,145,local_absolute_path,"write.xlsx(cov_matrix_low1 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_low1.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,146,local_absolute_path,"write.xlsx(cov_matrix_medium1 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_medium1.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,147,local_absolute_path,"write.xlsx(cov_matrix_high1 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_high1.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,148,local_absolute_path,"write.xlsx(cov_matrix_low2 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_low2.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,149,local_absolute_path,"write.xlsx(cov_matrix_medium2 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_medium2.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,150,local_absolute_path,"write.xlsx(cov_matrix_high2 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_high2.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,151,local_absolute_path,"write.xlsx(cov_matrix_low3 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_low3.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,152,local_absolute_path,"write.xlsx(cov_matrix_medium3 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_medium3.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,153,local_absolute_path,"write.xlsx(cov_matrix_high3 ,""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_high3.xlsx"")"
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,157,local_absolute_path,"path <- ""F:/文章/大论文/程序/模拟数据/相关系数矩阵/"""
01_simulation/01_design/4_模拟数据_相关系数矩阵.R,158,input_or_working_directory,"cov_matrix_low1    <- read_excel(paste0(path, ""cov_matrix_low1.xlsx""))"
